Date,usd_cad,aud_usd,usd_jpy,gbp_usd,euro_usd
12/12/2019,1.3182,0.6908,109.29,1.3162,1.1128
12/11/2019,1.3171,0.6874,108.54,1.3193,1.1128
12/10/2019,1.3225,0.6809,108.7,1.3154,1.1092
12/9/2019,1.3237,0.6822,108.55,1.3143,1.1062
12/6/2019,1.3255,0.6838,108.59,1.3135,1.1057
12/5/2019,1.3173,0.6833,108.75,1.3155,1.1102
12/4/2019,1.3199,0.6849,108.85,1.3103,1.1076
12/3/2019,1.3294,0.6846,108.62,1.2992,1.1081
12/2/2019,1.3308,0.6817,108.98,1.2936,1.1077
11/29/2019,1.3275,0.6764,109.51,1.2933,1.1015
11/28/2019,1.3277,0.6768,109.5,1.2911,1.1007
11/27/2019,1.3281,0.6775,109.55,1.2921,1.0998
11/26/2019,1.327,0.6787,109.03,1.2865,1.1018
